date,open,high,low,close
1967-03-12,1.0,11.12,10.47,10.56
1967-03-19,1.0,11.31,10.59,11.28
1967-03-26,1.0,11.5975,11.25,11.5675
1967-04-02,1.0,11.66,11.19,11.5
1967-04-09,1.0,11.47,10.84,10.84
1967-04-16,1.0,10.88,10.66,10.88
1967-04-23,1.0,11.06,10.66,10.72
1967-04-30,1.0,10.97,10.66,10.94
1967-05-07,1.0,10.97,10.78,10.88
1967-05-14,1.0,11.5,10.69,10.69
1967-05-21,1.0,10.97,10.44,10.66
1967-05-28,1.0,10.59,10.16,10.41
1967-06-04,1.0,10.47,9.94,10.31
1967-06-11,1.0,11.06,10.12,10.91
1967-06-18,1.0,11.25,10.66,10.66
1967-06-25,1.0,11.06,10.59,10.81
1967-07-02,1.0,11.0,10.69,10.91
1967-07-09,1.0,11.38,10.81,11.19
1967-07-16,1.0,11.34,10.91,10.94
1967-07-23,1.0,12.12,11.03,12.0
1967-07-30,1.0,12.59,11.91,12.47
1967-08-06,1.0,13.16,12.25,12.38
1967-08-13,1.0,12.47,11.53,11.53
1967-08-20,1.0,12.0,11.44,11.94
1967-08-27,1.0,12.03,11.44,11.75
1967-09-03,1.0,12.09,11.62,11.62
1967-09-10,1.0,11.88,11.44,11.56
1967-09-17,1.0,12.09,11.62,11.88
1967-09-24,1.0,12.12,11.78,12.12
1967-10-01,1.0,12.72,12.03,12.34
1967-10-08,1.0,12.38,12.03,12.09
1967-10-15,1.0,12.41,12.06,12.22
1967-10-22,1.0,12.12,11.25,11.53
1967-10-29,1.0,11.44,10.81,11.12
1967-11-05,1.0,11.25,10.78,10.78
1967-11-12,1.0,11.44,10.66,11.16
1967-11-19,1.0,11.69,11.12,11.12
1967-11-26,1.0,11.81,10.94,11.56
1967-12-03,1.0,11.56,11.03,11.09
1967-12-10,1.0,11.75,11.03,11.72
1967-12-17,1.0,12.56,11.69,12.5
1967-12-24,1.0,13.44,12.56,13.38
1967-12-31,1.0,13.59,13.25,13.59
1968-01-07,1.0,14.0,13.28,13.5
1968-01-14,1.0,13.66,12.84,13.25
1968-01-21,1.0,13.62,13.12,13.25
1968-01-28,1.0,13.28,12.5,12.81
1968-02-04,1.0,13.44,12.88,13.25
1968-02-11,1.0,13.25,12.5,12.5
1968-02-18,1.0,12.72,12.16,12.28
1968-02-25,1.0,12.75,12.12,12.66
1968-03-03,1.0,12.62,12.12,12.25
1968-03-10,1.0,12.34,12.12,12.22
1968-03-17,1.0,12.31,11.69,11.78
1968-03-24,1.0,12.22,11.56,11.56
1968-03-31,1.0,11.88,11.44,11.88
1968-04-07,1.0,12.47,12.12,12.22
1968-04-14,1.0,13.31,12.25,13.295
1968-04-21,1.0,13.31,12.66,12.75
1968-04-28,1.0,13.22,12.53,13.0
1968-05-05,1.0,13.16,12.69,12.88
1968-05-12,1.0,13.44,12.84,13.31
1968-05-19,1.0,13.75,13.16,13.75
1968-05-26,1.0,14.09,13.41,13.84
1968-06-02,1.0,14.06,13.56,13.62
1968-06-09,1.0,14.25,13.69,14.06
1968-06-16,1.0,14.38,13.81,13.88
1968-06-23,1.0,13.91,13.19,13.38
1968-06-30,1.0,13.72,13.44,13.72
1968-07-07,1.0,13.774000000000001,13.5,13.738
1968-07-14,1.0,14.0,13.66,13.97
1968-07-21,1.0,14.38,13.88,13.97
1968-07-28,1.0,14.34,13.88,14.16
1968-08-04,1.0,14.22,13.34,13.38
1968-08-11,1.0,14.12,13.22,13.91
1968-08-18,1.0,14.69,13.78,14.5
1968-08-25,1.0,14.62,13.81,13.81
1968-09-01,1.0,14.34,13.84,14.31
1968-09-08,1.0,14.72,14.2325,14.56
1968-09-15,1.0,14.88,14.44,14.88
1968-09-22,1.0,15.09,14.75,15.0
1968-09-29,1.0,15.0,14.09,14.12
1968-10-06,1.0,14.72,14.12,14.53
1968-10-13,1.0,14.81,14.41,14.69
1968-10-20,1.0,15.38,14.75,15.38
1968-10-27,1.0,15.62,14.75,15.0
1968-11-03,1.0,15.47,15.0,15.06
1968-11-10,1.0,15.47,15.0,15.47
1968-11-17,1.0,15.5,14.94,15.03
1968-11-24,1.0,14.97,14.56,14.62
1968-12-01,1.0,15.06,14.56,14.56
1968-12-08,1.0,15.16,14.56,15.0
1968-12-15,1.0,15.12,14.88,14.97
1968-12-22,1.0,14.88,13.94,14.5
1968-12-29,1.0,14.47,14.06,14.16
1969-01-05,1.0,14.25,13.84,13.91
1969-01-12,1.0,14.19,13.59,14.06
1969-01-19,1.0,14.31,13.81,14.09
1969-01-26,1.0,14.88,13.81,14.69
1969-02-02,1.0,14.84,14.16,14.16
1969-02-09,1.0,14.88,14.16,14.62
1969-02-16,1.0,15.38,14.25,15.0
1969-02-23,1.0,15.12,13.81,14.1075
1969-03-02,1.0,14.44,14.0,14.09
1969-03-09,1.0,14.72,13.88,14.16
1969-03-16,1.0,14.59,14.06,14.06
1969-03-23,1.0,14.62,13.81,14.47
